"","treatment","emmean","SE","df","lower.CL","upper.CL"
"1","control",-1.10052449084788,1.51286936381964,25.7143754236907,-4.21195401280729,2.01090503111152
"2","3 species",-15.5017959905789,1.81786413941492,25.1347233460368,-19.2447399805504,-11.7588520006074
"3","6 species",-15.2280192468011,2.30660692328988,27.9695147954338,-19.9531213614932,-10.502917132109
"4","manini",-14.5445356907746,2.16178046271089,24.5020903179532,-19.0013979888134,-10.0876733927358
"5","psittacus",-1.92523647736501,2.83137662898815,27.9937653235047,-7.7251067796937,3.87463382496368
"6","spilurus",-6.96948751003682,2.29952706848665,27.9370314349142,-11.6803335355152,-2.25864148455849
"7","unicorn",-7.65283479475233,2.83137662898815,27.9937653235047,-13.452705097081,-1.85296449242364
"8","velifer",-23.0330603639833,1.60376921534431,27.3383244999762,-26.3218185405595,-19.744302187407
"9","xanthopterus",-7.24953068900041,1.76666537143397,27.6881249126155,-10.8702179460381,-3.62884343196274
