"","fish.species","emmean","SE","df","lower.CL","upper.CL"
"1","Control",-0.107373351526734,0.27661656859698,14.150199036784,-0.700066622494338,0.48531991944087
"2","Bluespine Unicornfish",-4.5802144053298,1.02813515198426,46.9890662890396,-6.64856824858285,-2.51186056207674
"3","Bullethead Parrotfish",-2.05211783430853,0.429059065067724,24.0336280574522,-2.93758665712291,-1.16664901149415
"4","Convict Tang",-2.2093824956648,0.493894816096272,37.1399775232275,-3.20998115373696,-1.20878383759263
"5","Palenose Parrotfish",-1.90961189935854,0.55921757916406,39.4004445101066,-3.04036877171035,-0.778855027006724
"6","Sailfin tang",-2.8248874724601,0.37852933497193,22.0758464578553,-3.60975291822403,-2.04002202669617
"7","Yellowfin Surgeonfish",-1.63278519686483,0.397556113498426,28.7668461811423,-2.4461650930006,-0.819405300729059
